customer_id,customer_gender,customer_age_group,loyalty_member
qiyfrwsk,Female,35-44,False
vf0jqqnv,Male,18-24,False
fcd6mzsg,Male,25-34,False
jvu2cgxu,Female,55-64,True
po4ljedg,Male,18-24,True
2eclces1,Female,25-34,False
4es3aofc,Male,65+,True
c8nog85d,Unknown,55-64,False
pceo934t,Female,Unknown,False
idbx287g,Female,35-44,False
yj38xrg2,Female,25-34,False
g4gks6r6,Male,18-24,False
gnzs43c5,Male,18-24,False
k2vmwwyz,Female,45-54,False
xlpu0dk0,Male,25-34,False
5zjaucyh,Male,25-34,True
g3fye4hq,Male,25-34,False
p35t54gy,Male,25-34,False
4ldimsyj,Male,65+,False
0cv3tlcx,Unknown,25-34,False
96mj9n6e,Female,35-44,False
wgi8y042,Male,55-64,False
e9vifttd,Female,65+,False
x7n89lta,Female,25-34,False
c2rh2xk2,Female,35-44,True
jd2v1l1v,Female,25-34,False
0m3loufh,Female,45-54,False
wc0bogwh,Male,35-44,False
qpgb7r3o,Female,18-24,True
2xcb3yym,Female,Unknown,False
f8s2zge2,Female,25-34,False
tsujt70y,Female,55-64,True
j4xybrxf,Female,45-54,True
5vlwojtx,Male,Unknown,False
vbjrbzjw,Female,65+,False
dx5o31yh,Female,45-54,False
nkbtfshb,Male,45-54,False
jjy4mzvm,Male,18-24,False
0imjyjcm,Female,35-44,True
yjoaoejv,Male,65+,True
p1o8m291,Female,18-24,False
3dzxlrgn,Female,25-34,False
zg85s9as,Unknown,25-34,False
uh17j8qo,Prefer not to say,45-54,False
wpj8yi34,Female,45-54,False
z52ohkbm,Female,45-54,True
nkk1jxpp,Female,65+,False
kdts1fb2,Male,35-44,False
3bbt873l,Male,25-34,True
4r9v4k00,Male,25-34,False
fco3s65q,Female,35-44,True
ud99xro3,Unknown,65+,False
y3rztplc,Male,55-64,False
4gc4ryg9,Male,35-44,False
67j2dg1w,Female,25-34,False
jl6l91f4,Female,45-54,True
bvxketug,Male,25-34,False
zppep69n,Male,25-34,True
led1lg8y,Female,55-64,True
065afu20,Male,35-44,True
4sx27dcb,Unknown,25-34,False
wgt2lb25,Non-binary,55-64,False
337ov9wx,Female,25-34,False
h9vgky5c,Male,25-34,True
21id9vvn,Female,55-64,False
zni37zcg,Male,18-24,True
d9er94te,Female,45-54,True
wwiif86l,Male,35-44,True
ws1loqso,Female,35-44,False
g39bd2ee,Female,35-44,True
cxz2ei92,Female,55-64,False
vrnegn2b,Unknown,55-64,False
5nms6xvq,Unknown,35-44,False
xejaxvt7,Female,18-24,False
hdiy4nrm,Female,35-44,False
q52wspof,Female,35-44,False
3dvyjhmi,Non-binary,18-24,False
1dntcagr,Female,35-44,False
e4n2524g,Female,35-44,True
22xmq664,Female,55-64,False
4qxxva2i,Female,18-24,True
k94w6wuu,Male,25-34,False
r1z4qt7z,Male,35-44,True
45ed5ggs,Female,Unknown,False
e1q5ms7u,Unknown,35-44,False
ymyrsvzn,Female,55-64,True
v1fkhnnk,Male,65+,False
