transaction_id,timestamp,product_name,quantity,unit_price,total_amount
10001,2023-01-01 00:39:39,Double Espresso,1,3.04,2.74
10002,2023-01-01 01:06:53,Single Espresso,2,2.38,4.76
10003,2023-01-01 02:56:18,Large Matcha Latte,2,4.26,8.52
10004,2023-01-01 02:58:30,Medium Cappuccino,2,3.68,7.36
10005,2023-01-01 03:13:53,Small Cappuccino,1,3.42,3.42
10006,2023-01-01 03:23:03,Large Green Tea,1,3.01,3.01
10007,2023-01-01 03:42:51,Medium Earl Grey,1,3.32,3.32
10008,2023-01-01 04:04:29,Large Cappuccino,2,3.77,7.54
10009,2023-01-01 04:26:29,Large Matcha Latte,1,5.72,5.72
10010,2023-01-01 05:41:05,Large Cappuccino,2,4.51,9.02
10011,2023-01-01 06:02:19,Ham & Cheese Croissant,1,5.06,5.06
10012,2023-01-01 06:16:26,Small Mocha,1,4.05,3.64
10013,2023-01-01 06:28:48,Ham & Cheese Croissant,2,4.67,9.34
10014,2023-01-01 06:31:28,Large Mocha,2,5.55,11.1
10015,2023-01-01 06:47:03,Medium Berry Blast,1,5.5,5.5
10016,2023-01-01 06:49:30,Medium Latte,1,3.92,3.92
10017,2023-01-01 06:55:48,Medium Latte,1,4.4,4.4
10018,2023-01-01 06:57:09,Blueberry Muffin,1,2.82,2.82
10019,2023-01-01 07:05:57,Double Espresso,1,3.19,3.19
10020,2023-01-01 07:08:02,Small Earl Grey,1,2.5,2.5
10021,2023-01-01 07:17:45,Ham & Cheese Croissant,1,5.33,5.33
10022,2023-01-01 07:23:03,Small Green Tea,1,2.06,2.06
10023,2023-01-01 07:26:58,Vegan Falafel Wrap,2,4.95,9.9
10024,2023-01-01 07:47:51,Tote Bag,2,12.75,15.459999999999999
10025,2023-01-01 07:48:37,Large Mocha,4,4.89,15.459999999999999
10026,2023-01-01 07:53:16,Large Cappuccino,4,4.37,15.459999999999999
10027,2023-01-01 07:56:46,Medium Latte,3,3.8,11.4
10028,2023-01-01 08:00:14,Medium Cappuccino,2,3.4,6.8
10029,2023-01-01 08:01:14,Small Mocha,4,3.32,11.95
10030,2023-01-01 08:08:01,Large Mocha,1,5.45,5.45
10031,2023-01-01 08:08:18,Medium Mocha,1,4.27,4.27
10032,2023-01-01 08:17:24,Large Cappuccino,1,4.46,4.01
10033,2023-01-01 08:21:11,Medium Green Tea,1,3.02,2.72
10034,2023-01-01 08:29:45,Croissant,1,2.45,2.45
10035,2023-01-01 08:34:50,Vegan Falafel Wrap,1,5.1,5.1
10036,2023-01-01 08:37:51,Single Espresso,1,3.09,3.09
10037,2023-01-01 08:50:29,Ham & Cheese Croissant,2,5.5,11.0
10038,2023-01-01 08:58:50,Small Earl Grey,1,2.05,2.05
10039,2023-01-01 09:21:46,Large Earl Grey,1,3.8,3.8
10040,2023-01-01 09:23:59,Large Latte,1,4.6,4.6
10041,2023-01-01 09:27:25,Medium Cappuccino,3,3.92,11.76
10042,2023-01-01 09:37:35,Scone,4,2.02,8.08
10043,2023-01-01 09:50:53,Large Americano,2,3.24,6.48
10044,2023-01-01 09:52:20,Small Chai Latte,3,4.65,13.95
10045,2023-01-01 10:01:05,Medium Americano,1,2.91,2.91
10046,2023-01-01 10:03:56,Coffee Mug,1,12.96,12.96
10047,2023-01-01 10:06:13,Large Chai Latte,5,5.33,15.459999999999999
10048,2023-01-01 10:10:10,Scone,3,2.07,6.21
10049,2023-01-01 10:20:03,Large Earl Grey,2,2.62,5.24
10050,2023-01-01 10:25:36,Scone,4,2.38,7.62
10051,2023-01-01 10:28:04,Medium Cappuccino,1,3.28,3.28
10052,2023-01-01 10:34:29,Large Green Tea,1,3.04,3.04
